pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
Kepler-444,,HIP 94931,5,e
HD 180902,HD 180902,HIP 94951,1,b
HD 181342,HD 181342,HIP 95124,1,b
HD 12484,HD 12484,HIP 9519,1,b
HD 181720,HD 181720,HIP 95262,1,b
HD 181433,HD 181433,HIP 95467,3,d
HD 181433,HD 181433,HIP 95467,3,c
HD 181433,HD 181433,HIP 95467,3,b
HD 183263,HD 183263,HIP 95740,2,b
HD 183263,HD 183263,HIP 95740,2,c
HD 231701,HD 231701,HIP 96078,1,b
HD 185269,HD 185269,HIP 96507,1,b
HD 12661,HD 12661,HIP 9683,2,c
HD 12661,HD 12661,HIP 9683,2,b
16 Cyg B,HD 186427,HIP 96901,1,b
HIP 97233,HD 186641,HIP 97233,1,b
HD 187123,HD 187123,HIP 97336,2,c
HD 187123,HD 187123,HIP 97336,2,b
HD 187085,HD 187085,HIP 97546,1,b
HAT-P-11,,HIP 97657,1,b
HD 188015,HD 188015,HIP 97769,1,b
xi Aql,HD 188310,HIP 97938,1,b
HD 189733,HD 189733,HIP 98505,1,b
HD 190360,HD 190360,HIP 98767,2,c
HD 190360,HD 190360,HIP 98767,2,b
alf Ari,HD 12929,HIP 9884,1,b
HD 190647,HD 190647,HIP 99115,1,b
HD 191806,HD 191806,HIP 99306,1,b
HD 190984,HD 190984,HIP 99496,1,b
HD 192263,HD 192263,HIP 99711,1,b
HD 192310,HD 192310,HIP 99825,2,b
HD 192310,HD 192310,HIP 99825,2,c
HD 192699,HD 192699,HIP 99894,1,b
Kepler-519,,,1,b
Kepler-520,,,2,b
Kepler-520,,,2,c
Kepler-521,,,1,b
Kepler-522,,,1,b
Kepler-523,,,1,b
Kepler-524,,,2,b
Kepler-524,,,2,c
Kepler-525,,,1,b
Kepler-526,,,1,b
Kepler-527,,,1,b
Kepler-528,,,1,b
Kepler-529,,,2,b
Kepler-529,,,2,c
Kepler-530,,,1,b
Kepler-531,,,1,b
Kepler-532,,,1,b
Kepler-533,,,1,b
Kepler-534,,,1,b
Kepler-535,,,1,b
Kepler-536,,,1,b
Kepler-537,,,1,b
Kepler-538,,,1,b
Kepler-539,,,2,b
Kepler-540,,,1,b
Kepler-541,,,1,b
Kepler-542,,,1,b
Kepler-543,,,1,b
Kepler-544,,,1,b
Kepler-148,,,3,d
2MASS J19383260+4603591,,,1,b
MOA 2010-BLG-328L,,,1,b
MOA 2011-BLG-262L,,,1,b
HATS-8,,,1,b
HAT-P-1,,,1,b
K2-21,,,2,b
K2-21,,,2,c
K2-30,,,1,b
Kepler-751,,,1,b
Kepler-752,,,1,b
Kepler-753,,,1,b
Kepler-754,,,1,b
Kepler-755,,,2,b
Kepler-755,,,2,c
Kepler-756,,,1,b
Kepler-757,,,1,b
Kepler-758,,,4,b
Kepler-758,,,4,c
Kepler-758,,,4,d
Kepler-758,,,4,e
Kepler-759,,,1,b
Kepler-760,,,2,b
Kepler-760,,,2,c
Kepler-761,,,1,b
Kepler-762,,,1,b
Kepler-763,,,1,b
Kepler-764,,,1,b
Kepler-765,,,1,b
Kepler-766,,,1,b
Kepler-767,,,1,b
Kepler-768,,,1,b
Kepler-769,,,2,b
Kepler-769,,,2,c
Kepler-770,,,3,b
Kepler-770,,,3,c
Kepler-770,,,3,d
Kepler-771,,,1,b
Kepler-772,,,1,b
Kepler-773,,,1,b
Kepler-774,,,1,b
Kepler-775,,,1,b
Kepler-776,,,1,b
Kepler-777,,,1,b
Kepler-778,,,1,b
Kepler-779,,,1,b
Kepler-780,,,1,b
Kepler-271,,,3,d
